,QPE_A1,QPE_V1,QPE_O1,QPE_O3,QPE_D1,QPE_D2,QPE_D3,QPE_D4,QPE_D5,QPE_D6,QPE_D7,QPE_D8,QPE_D9,SCOPA-PC_01,SCOPA-PC_02,SCOPA-PC_03,SCOPA-PC_04,SCOPA-PC_05,SCOPA-PC_06,SCOPA-PC_07,SAPS-PD_01,SAPS-PD_03,SAPS-PD_04,SAPS-PD_06,SAPS-PD_08,SAPS-PD_09,SAPS-PD_14,MDS-UPDRS_1.2,NPI_A_screen,NPI_B_screen,PPRS_01,PPRS_02,PPRS_03,PPRS_04,PPRS_05,PPRS_06,UM-PDHQ_01
SCOPA-PC_06,0.79,0.79,0.83,0.83,0.88,0.84,0.87,0.83,0.9,0.89,0.85,0.83,0.86,0.89,0.87,0.89,0.91,0.89,1.0,0.89,0.63,0.55,0.55,0.69,0.69,0.61,0.67,0.81,0.82,0.82,0.46,0.54,0.6,0.42,0.36,0.39,0.87
SCOPA-PC_07,0.77,0.81,0.85,0.85,0.85,0.83,0.82,0.83,0.88,0.86,0.85,0.8,0.85,0.87,0.87,0.87,0.87,0.88,0.89,1.0,0.62,0.56,0.55,0.68,0.67,0.61,0.68,0.76,0.82,0.79,0.48,0.52,0.6,0.48,0.31,0.39,0.85
SAPS-PD_01,0.84,0.72,0.72,0.73,0.68,0.75,0.66,0.72,0.67,0.62,0.7,0.65,0.66,0.71,0.71,0.69,0.68,0.67,0.63,0.62,1.0,0.81,0.71,0.8,0.69,0.64,0.73,0.74,0.73,0.81,0.54,0.61,0.62,0.56,0.38,0.43,0.71
SAPS-PD_03,0.67,0.57,0.59,0.59,0.56,0.65,0.53,0.59,0.56,0.53,0.6,0.5,0.57,0.57,0.57,0.58,0.57,0.56,0.55,0.56,0.81,1.0,0.74,0.71,0.69,0.66,0.66,0.6,0.64,0.7,0.55,0.6,0.63,0.59,0.46,0.49,0.55
SAPS-PD_04,0.61,0.6,0.65,0.63,0.57,0.63,0.55,0.63,0.58,0.53,0.59,0.54,0.57,0.58,0.58,0.56,0.56,0.53,0.55,0.55,0.71,0.74,1.0,0.73,0.72,0.67,0.74,0.57,0.63,0.71,0.63,0.64,0.68,0.6,0.44,0.6,0.59
SAPS-PD_06,0.75,0.79,0.75,0.74,0.75,0.8,0.72,0.78,0.74,0.72,0.77,0.73,0.75,0.75,0.76,0.77,0.71,0.73,0.69,0.68,0.8,0.71,0.73,1.0,0.78,0.74,0.77,0.74,0.79,0.85,0.58,0.67,0.65,0.54,0.43,0.47,0.74
SAPS-PD_08,0.65,0.62,0.68,0.66,0.71,0.73,0.69,0.75,0.7,0.63,0.68,0.67,0.71,0.67,0.69,0.72,0.69,0.67,0.69,0.67,0.69,0.69,0.72,0.78,1.0,0.8,0.77,0.68,0.75,0.77,0.55,0.66,0.78,0.52,0.44,0.52,0.63
SAPS-PD_09,0.6,0.59,0.63,0.62,0.6,0.65,0.61,0.67,0.64,0.56,0.66,0.59,0.68,0.59,0.61,0.63,0.61,0.62,0.61,0.61,0.64,0.66,0.67,0.74,0.8,1.0,0.71,0.6,0.7,0.7,0.51,0.61,0.63,0.5,0.44,0.51,0.56
SAPS-PD_14,0.74,0.74,0.7,0.7,0.73,0.73,0.68,0.75,0.73,0.66,0.71,0.7,0.71,0.69,0.68,0.68,0.66,0.67,0.67,0.68,0.73,0.66,0.74,0.77,0.77,0.71,1.0,0.68,0.74,0.8,0.53,0.71,0.67,0.56,0.41,0.48,0.69
MDS-UPDRS_1.2,0.87,0.83,0.82,0.83,0.85,0.85,0.86,0.8,0.82,0.79,0.79,0.81,0.8,0.83,0.82,0.83,0.84,0.8,0.81,0.76,0.74,0.6,0.57,0.74,0.68,0.6,0.68,1.0,0.79,0.8,0.46,0.5,0.56,0.44,0.35,0.36,0.87
NPI_A_screen,0.81,0.8,0.87,0.86,0.87,0.87,0.82,0.85,0.86,0.85,0.9,0.81,0.82,0.88,0.89,0.88,0.85,0.86,0.82,0.82,0.73,0.64,0.63,0.79,0.75,0.7,0.74,0.79,1.0,0.92,0.46,0.55,0.62,0.42,0.3,0.37,0.83
NPI_B_screen,0.84,0.84,0.87,0.87,0.86,0.87,0.8,0.85,0.86,0.83,0.89,0.81,0.82,0.89,0.89,0.85,0.85,0.85,0.82,0.79,0.81,0.7,0.71,0.85,0.77,0.7,0.8,0.8,0.92,1.0,0.56,0.66,0.67,0.5,0.35,0.41,0.86
PPRS_01,0.48,0.52,0.48,0.49,0.48,0.51,0.43,0.49,0.45,0.39,0.44,0.43,0.47,0.47,0.48,0.5,0.48,0.42,0.46,0.48,0.54,0.55,0.63,0.58,0.55,0.51,0.53,0.46,0.46,0.56,1.0,0.61,0.65,0.67,0.62,0.59,0.54
PPRS_02,0.56,0.6,0.52,0.54,0.57,0.58,0.49,0.55,0.58,0.49,0.54,0.54,0.55,0.54,0.55,0.56,0.54,0.52,0.54,0.52,0.61,0.6,0.64,0.67,0.66,0.61,0.71,0.5,0.55,0.66,0.61,1.0,0.67,0.62,0.49,0.59,0.55
PPRS_03,0.57,0.57,0.59,0.58,0.57,0.64,0.54,0.6,0.6,0.51,0.55,0.52,0.61,0.59,0.61,0.64,0.59,0.59,0.6,0.6,0.62,0.63,0.68,0.65,0.78,0.63,0.67,0.56,0.62,0.67,0.65,0.67,1.0,0.57,0.51,0.61,0.58
PPRS_04,0.5,0.49,0.46,0.48,0.46,0.47,0.39,0.47,0.43,0.37,0.44,0.41,0.44,0.45,0.44,0.45,0.46,0.42,0.42,0.48,0.56,0.59,0.6,0.54,0.52,0.5,0.56,0.44,0.42,0.5,0.67,0.62,0.57,1.0,0.57,0.6,0.44
PPRS_05,0.34,0.32,0.31,0.31,0.33,0.37,0.33,0.37,0.31,0.29,0.29,0.33,0.36,0.29,0.3,0.34,0.35,0.3,0.36,0.31,0.38,0.46,0.44,0.43,0.44,0.44,0.41,0.35,0.3,0.35,0.62,0.49,0.51,0.57,1.0,0.6,0.32
PPRS_06,0.38,0.4,0.4,0.4,0.37,0.39,0.36,0.42,0.38,0.31,0.36,0.37,0.41,0.36,0.38,0.39,0.39,0.33,0.39,0.39,0.43,0.49,0.6,0.47,0.52,0.51,0.48,0.36,0.37,0.41,0.59,0.59,0.61,0.6,0.6,1.0,0.35
UM-PDHQ_01,0.85,0.89,0.86,0.87,0.9,0.88,0.88,0.84,0.9,0.87,0.86,0.84,0.84,0.91,0.89,0.88,0.89,0.88,0.87,0.85,0.71,0.55,0.59,0.74,0.63,0.56,0.69,0.87,0.83,0.86,0.54,0.55,0.58,0.44,0.32,0.35,1.0
