,BDI_01,BDI_02,BDI_03,BDI_04,BDI_05,BDI_06,BDI_07,BDI_08,BDI_09,BDI_10,BDI_11,BDI_12,BDI_13,BDI_14,BDI_15,BDI_16,BDI_17,BDI_18,BDI_19,BDI_20,BDI_21,GDS_01,GDS_02,GDS_03,GDS_04,GDS_05,GDS_06,GDS_07,GDS_08,GDS_09,GDS_10,GDS_11,GDS_12,GDS_13,GDS_14,GDS_15,HADS_02,HADS_04,HADS_06,HADS_08,HADS_10,HADS_12,HADS_14,HAMD_01,HAMD_02,HAMD_03,HAMD_04,HAMD_05,HAMD_06,HAMD_07,HAMD_08,HAMD_09,HAMD_12,HAMD_13,HAMD_14,HAMD_16,NPI_D_screen,MDS-UPDRS_1.3
GDS_06,0.15,0.38,0.22,0.18,0.25,0.31,0.14,0.35,0.44,0.19,0.1,0.18,0.34,0.17,0.13,0.2,0.13,0.14,0.1,0.1,0.16,0.3,0.19,0.34,0.21,0.4,1.0,0.3,0.4,0.25,0.36,0.27,0.33,0.28,0.4,0.28,0.06,0.14,0.19,0.26,0.07,0.2,0.04,0.16,0.28,0.18,0.11,0.12,0.12,0.05,0.02,0.15,0.1,0.08,0.03,0.02,0.21,0.29
GDS_07,0.33,0.24,0.19,0.27,0.49,0.02,0.19,0.22,0.25,0.29,0.15,0.16,0.15,0.07,-0.0,0.23,0.25,0.08,0.17,0.05,0.18,0.68,0.28,0.56,0.51,0.7,0.3,1.0,0.45,0.41,0.28,0.49,0.46,0.61,0.4,0.4,0.38,0.27,0.56,0.24,0.06,0.33,0.27,0.33,0.23,0.14,0.12,0.15,0.09,0.1,-0.04,0.21,0.06,0.08,0.08,0.02,0.35,0.4
GDS_08,0.32,0.43,0.4,0.33,0.48,0.22,0.31,0.4,0.39,0.32,0.23,0.2,0.42,0.03,0.36,0.25,0.23,0.13,0.05,-0.07,0.2,0.34,0.33,0.52,0.46,0.42,0.4,0.45,1.0,0.34,0.35,0.18,0.55,0.36,0.61,0.35,0.2,0.27,0.29,0.37,0.21,0.2,0.25,0.37,0.39,0.19,0.19,0.2,0.16,0.23,0.14,0.3,0.11,0.08,0.07,-0.03,0.23,0.48
GDS_09,0.13,0.21,0.12,0.33,0.29,0.07,0.1,0.16,0.2,0.11,0.08,0.19,0.31,0.05,0.21,0.23,0.22,0.07,0.08,-0.0,0.14,0.46,0.37,0.36,0.45,0.38,0.25,0.41,0.34,1.0,0.23,0.26,0.35,0.25,0.28,0.31,0.35,0.21,0.2,0.13,0.11,0.31,0.35,0.08,0.07,0.11,0.14,0.14,0.16,0.15,-0.06,0.09,-0.07,-0.04,-0.12,-0.04,0.07,0.21
GDS_10,0.06,0.13,0.17,0.18,0.24,0.11,0.06,0.3,0.17,0.19,0.12,0.13,0.33,0.12,0.2,0.28,0.31,0.16,0.09,0.09,0.14,0.23,0.23,0.24,0.26,0.31,0.36,0.28,0.35,0.23,1.0,0.17,0.2,0.27,0.25,0.32,0.16,0.16,0.09,0.28,0.05,0.04,0.11,0.02,0.15,0.02,0.1,0.1,0.13,0.18,0.23,0.08,0.1,0.1,0.14,-0.07,0.18,0.17
GDS_11,0.22,0.25,0.16,0.15,0.13,-0.01,0.14,0.05,0.26,0.2,0.15,0.08,0.03,0.09,-0.03,0.11,0.09,0.05,0.15,-0.01,0.05,0.56,0.19,0.41,0.19,0.39,0.27,0.49,0.18,0.26,0.17,1.0,0.38,0.38,0.33,0.41,0.37,0.21,0.49,0.14,0.02,0.3,0.25,0.13,0.02,0.13,0.09,0.08,0.1,-0.03,-0.06,0.05,-0.05,-0.04,-0.07,-0.03,0.11,0.3
GDS_12,0.34,0.43,0.44,0.4,0.32,0.12,0.32,0.28,0.42,0.34,0.2,0.38,0.31,0.26,0.18,0.3,0.27,0.19,0.23,0.02,0.32,0.58,0.47,0.66,0.28,0.33,0.33,0.46,0.55,0.35,0.2,0.38,1.0,0.36,0.58,0.5,0.32,0.1,0.26,0.32,0.4,0.12,0.09,0.37,0.27,0.15,0.11,0.13,0.12,0.1,0.04,0.17,0.11,0.08,0.04,0.13,0.21,0.44
GDS_13,0.29,0.19,0.08,0.19,0.31,0.08,0.15,0.19,0.19,0.18,0.21,0.15,0.17,0.11,0.12,0.26,0.38,0.2,0.27,0.11,0.2,0.38,0.24,0.43,0.41,0.53,0.28,0.61,0.36,0.25,0.27,0.38,0.36,1.0,0.28,0.22,0.23,0.25,0.51,0.37,0.11,0.29,0.23,0.27,0.24,0.08,0.18,0.18,0.18,0.26,0.03,0.27,0.2,0.23,0.1,0.15,0.3,0.36
GDS_14,0.28,0.57,0.5,0.27,0.21,0.17,0.25,0.22,0.4,0.3,0.1,0.28,0.34,0.1,0.2,0.19,0.17,0.1,0.06,-0.11,0.24,0.48,0.4,0.62,0.26,0.37,0.4,0.4,0.61,0.28,0.25,0.33,0.58,0.28,1.0,0.5,0.14,0.12,0.23,0.25,0.26,0.07,0.08,0.4,0.17,0.23,0.15,0.14,0.14,0.14,0.05,0.13,0.08,0.06,0.06,-0.07,0.27,0.49
GDS_15,0.16,0.36,0.32,0.13,0.22,0.1,0.18,0.14,0.19,0.19,0.04,0.2,0.2,0.05,0.14,0.11,0.11,0.01,0.02,-0.03,0.06,0.5,0.23,0.44,0.2,0.31,0.28,0.4,0.35,0.31,0.32,0.41,0.5,0.22,0.5,1.0,0.12,0.11,0.15,0.13,0.04,0.04,0.08,0.19,0.12,0.08,0.04,0.02,0.07,-0.01,0.02,0.06,-0.03,-0.05,-0.04,-0.12,0.16,0.23
HADS_02,0.28,0.21,0.15,0.58,0.26,0.02,0.22,0.13,0.15,0.37,0.19,0.36,0.22,0.11,0.02,0.35,0.3,0.27,0.22,0.02,0.31,0.4,0.45,0.22,0.36,0.3,0.06,0.38,0.2,0.35,0.16,0.37,0.32,0.23,0.14,0.12,1.0,0.31,0.38,0.17,0.22,0.47,0.43,0.08,0.13,0.15,0.11,0.11,0.08,0.14,-0.0,0.12,0.02,-0.03,0.03,0.09,0.07,0.22
HADS_04,0.23,0.18,0.15,0.19,0.23,0.13,0.25,0.37,0.15,0.23,0.19,0.18,0.15,0.03,0.13,0.11,0.13,0.02,0.06,-0.06,0.08,0.19,0.14,0.09,0.32,0.39,0.14,0.27,0.27,0.21,0.16,0.21,0.1,0.25,0.12,0.11,0.31,1.0,0.4,0.14,0.16,0.46,0.45,0.15,0.1,0.11,0.06,0.07,0.05,0.04,0.06,0.18,-0.04,-0.07,-0.06,-0.04,0.1,0.14
