,BDI_01,BDI_02,BDI_03,BDI_04,BDI_05,BDI_06,BDI_07,BDI_08,BDI_09,BDI_10,BDI_11,BDI_12,BDI_13,BDI_14,BDI_15,BDI_16,BDI_17,BDI_18,BDI_19,BDI_20,BDI_21,GDS_01,GDS_02,GDS_03,GDS_04,GDS_05,GDS_06,GDS_07,GDS_08,GDS_09,GDS_10,GDS_11,GDS_12,GDS_13,GDS_14,GDS_15,HADS_02,HADS_04,HADS_06,HADS_08,HADS_10,HADS_12,HADS_14,HAMD_01,HAMD_02,HAMD_03,HAMD_04,HAMD_05,HAMD_06,HAMD_07,HAMD_08,HAMD_09,HAMD_12,HAMD_13,HAMD_14,HAMD_16,NPI_D_screen,MDS-UPDRS_1.3
BDI_01,1.0,0.87,0.84,0.81,0.81,0.88,0.88,0.82,0.8,0.81,0.83,0.8,0.78,0.83,0.73,0.8,0.81,0.71,0.77,0.78,0.79,0.77,0.73,0.8,0.76,0.68,0.69,0.76,0.8,0.72,0.75,0.75,0.76,0.79,0.8,0.71,0.81,0.79,0.93,0.88,0.84,0.82,0.76,0.78,0.82,0.66,0.78,0.76,0.74,0.72,0.7,0.69,0.74,0.73,0.71,0.77,0.8,0.72
BDI_02,0.87,1.0,0.9,0.87,0.86,0.9,0.9,0.89,0.9,0.86,0.88,0.88,0.87,0.89,0.82,0.87,0.86,0.81,0.86,0.86,0.87,0.85,0.84,0.86,0.83,0.78,0.79,0.81,0.84,0.84,0.83,0.83,0.83,0.85,0.86,0.81,0.88,0.88,0.9,0.89,0.91,0.91,0.87,0.84,0.8,0.66,0.83,0.83,0.81,0.82,0.78,0.68,0.81,0.82,0.78,0.77,0.85,0.83
BDI_03,0.84,0.9,1.0,0.9,0.89,0.91,0.9,0.91,0.92,0.9,0.9,0.92,0.91,0.91,0.88,0.91,0.92,0.85,0.89,0.88,0.91,0.87,0.86,0.88,0.86,0.82,0.83,0.86,0.87,0.87,0.9,0.86,0.86,0.87,0.89,0.88,0.91,0.9,0.87,0.92,0.88,0.9,0.88,0.85,0.8,0.62,0.84,0.83,0.82,0.85,0.83,0.64,0.83,0.86,0.82,0.77,0.88,0.88
BDI_04,0.81,0.87,0.9,1.0,0.89,0.86,0.86,0.87,0.9,0.91,0.87,0.93,0.92,0.88,0.86,0.94,0.93,0.87,0.83,0.85,0.92,0.85,0.85,0.87,0.84,0.82,0.82,0.86,0.84,0.86,0.85,0.86,0.87,0.85,0.85,0.85,0.94,0.9,0.84,0.88,0.86,0.89,0.85,0.79,0.75,0.58,0.82,0.81,0.8,0.82,0.79,0.59,0.79,0.82,0.81,0.73,0.83,0.86
BDI_05,0.81,0.86,0.89,0.89,1.0,0.83,0.86,0.87,0.87,0.86,0.88,0.88,0.87,0.86,0.88,0.88,0.88,0.86,0.83,0.85,0.88,0.84,0.81,0.86,0.81,0.88,0.83,0.92,0.82,0.85,0.86,0.85,0.87,0.84,0.85,0.84,0.88,0.88,0.83,0.85,0.85,0.86,0.83,0.79,0.76,0.55,0.81,0.81,0.79,0.81,0.78,0.56,0.78,0.81,0.79,0.73,0.85,0.85
BDI_06,0.88,0.9,0.91,0.86,0.83,1.0,0.9,0.89,0.9,0.87,0.89,0.87,0.87,0.89,0.81,0.88,0.86,0.8,0.86,0.84,0.88,0.81,0.81,0.83,0.83,0.74,0.76,0.77,0.85,0.81,0.81,0.8,0.79,0.82,0.84,0.77,0.88,0.86,0.9,0.92,0.89,0.88,0.86,0.83,0.82,0.65,0.81,0.79,0.8,0.8,0.78,0.68,0.82,0.81,0.79,0.78,0.84,0.8
BDI_07,0.88,0.9,0.9,0.86,0.86,0.9,1.0,0.93,0.89,0.85,0.9,0.88,0.85,0.91,0.81,0.86,0.86,0.8,0.86,0.85,0.88,0.85,0.82,0.84,0.84,0.77,0.77,0.8,0.84,0.81,0.82,0.8,0.81,0.83,0.85,0.79,0.87,0.86,0.9,0.9,0.92,0.88,0.84,0.83,0.79,0.64,0.82,0.8,0.79,0.8,0.76,0.66,0.8,0.8,0.78,0.76,0.84,0.8
BDI_08,0.82,0.89,0.91,0.87,0.87,0.89,0.93,1.0,0.92,0.87,0.9,0.89,0.89,0.92,0.86,0.88,0.87,0.84,0.88,0.89,0.88,0.87,0.88,0.87,0.87,0.81,0.82,0.82,0.87,0.85,0.88,0.84,0.84,0.86,0.88,0.83,0.88,0.89,0.85,0.89,0.92,0.89,0.88,0.86,0.81,0.62,0.85,0.84,0.83,0.87,0.83,0.63,0.84,0.87,0.84,0.77,0.87,0.87
BDI_09,0.8,0.9,0.92,0.9,0.87,0.9,0.89,0.92,1.0,0.89,0.9,0.91,0.9,0.9,0.88,0.91,0.9,0.85,0.88,0.89,0.91,0.86,0.87,0.87,0.85,0.81,0.84,0.83,0.86,0.89,0.87,0.86,0.85,0.86,0.86,0.85,0.9,0.89,0.84,0.9,0.9,0.88,0.87,0.85,0.78,0.6,0.82,0.82,0.82,0.86,0.84,0.61,0.83,0.87,0.84,0.75,0.87,0.89
BDI_10,0.81,0.86,0.9,0.91,0.86,0.87,0.85,0.87,0.89,1.0,0.88,0.92,0.94,0.86,0.87,0.93,0.94,0.86,0.85,0.83,0.92,0.82,0.84,0.85,0.85,0.79,0.81,0.84,0.85,0.84,0.85,0.86,0.84,0.86,0.83,0.83,0.91,0.89,0.84,0.88,0.86,0.89,0.85,0.8,0.75,0.61,0.82,0.81,0.8,0.8,0.77,0.63,0.78,0.8,0.77,0.76,0.83,0.83
