,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
HAMA_13,0.63,0.6,0.57,0.43,0.64,0.53,0.62,0.71,0.76,0.57,0.68,0.57,0.67,0.78,0.84,0.77,0.75,0.78,0.76,1.0,0.76,0.66,0.56,0.46,0.55,0.51,0.71,0.51,0.51,0.54,0.55,0.61,0.53,0.58,0.57,0.54,0.52,0.48,0.62,0.61,0.57,0.59,0.65,0.55
HAMA_14,0.72,0.57,0.6,0.39,0.57,0.58,0.55,0.74,0.81,0.64,0.64,0.61,0.69,0.79,0.71,0.66,0.71,0.62,0.67,0.76,1.0,0.59,0.43,0.46,0.58,0.49,0.57,0.54,0.54,0.57,0.61,0.54,0.58,0.61,0.6,0.6,0.49,0.49,0.44,0.56,0.47,0.44,0.75,0.67
BAI_01,0.69,0.55,0.53,0.5,0.58,0.5,0.55,0.55,0.61,0.54,0.5,0.57,0.54,0.6,0.71,0.59,0.54,0.56,0.48,0.66,0.59,1.0,0.59,0.51,0.63,0.52,0.7,0.5,0.59,0.64,0.61,0.59,0.65,0.62,0.57,0.55,0.58,0.58,0.57,0.71,0.44,0.57,0.57,0.52
BAI_02,0.63,0.5,0.52,0.5,0.55,0.56,0.57,0.53,0.55,0.47,0.35,0.45,0.5,0.5,0.62,0.46,0.4,0.48,0.47,0.56,0.43,0.59,1.0,0.51,0.57,0.42,0.52,0.62,0.52,0.52,0.65,0.55,0.56,0.49,0.52,0.56,0.49,0.57,0.54,0.57,0.75,0.72,0.41,0.43
BAI_03,0.48,0.36,0.43,0.41,0.39,0.45,0.4,0.42,0.48,0.47,0.31,0.47,0.43,0.58,0.48,0.38,0.37,0.47,0.45,0.46,0.46,0.51,0.51,1.0,0.49,0.38,0.5,0.5,0.67,0.46,0.54,0.42,0.5,0.63,0.45,0.54,0.41,0.5,0.46,0.57,0.44,0.41,0.37,0.37
BAI_04,0.7,0.46,0.53,0.57,0.5,0.62,0.52,0.53,0.68,0.52,0.59,0.61,0.64,0.64,0.55,0.53,0.55,0.56,0.54,0.55,0.58,0.63,0.57,0.49,1.0,0.45,0.65,0.53,0.65,0.54,0.59,0.61,0.58,0.61,0.64,0.66,0.57,0.55,0.57,0.59,0.45,0.48,0.54,0.49
BAI_05,0.59,0.78,0.6,0.31,0.59,0.49,0.64,0.78,0.55,0.73,0.54,0.43,0.46,0.43,0.55,0.45,0.49,0.46,0.49,0.51,0.49,0.52,0.42,0.38,0.45,1.0,0.44,0.49,0.47,0.77,0.65,0.62,0.58,0.51,0.79,0.5,0.84,0.71,0.45,0.42,0.39,0.41,0.61,0.5
BAI_06,0.63,0.52,0.52,0.45,0.58,0.54,0.6,0.52,0.6,0.49,0.6,0.61,0.63,0.64,0.65,0.65,0.58,0.61,0.56,0.71,0.57,0.7,0.52,0.5,0.65,0.44,1.0,0.56,0.69,0.57,0.57,0.56,0.53,0.7,0.57,0.6,0.48,0.5,0.57,0.83,0.49,0.42,0.55,0.47
BAI_07,0.58,0.54,0.53,0.34,0.55,0.58,0.6,0.56,0.57,0.56,0.42,0.53,0.49,0.61,0.56,0.6,0.51,0.51,0.52,0.51,0.54,0.5,0.62,0.5,0.53,0.49,0.56,1.0,0.58,0.62,0.63,0.52,0.54,0.58,0.58,0.67,0.56,0.57,0.39,0.53,0.58,0.5,0.47,0.46
BAI_08,0.62,0.48,0.45,0.39,0.5,0.55,0.52,0.49,0.57,0.51,0.45,0.52,0.48,0.64,0.49,0.49,0.49,0.49,0.44,0.51,0.54,0.59,0.52,0.67,0.65,0.47,0.69,0.58,1.0,0.58,0.67,0.6,0.68,0.92,0.56,0.7,0.55,0.6,0.52,0.7,0.45,0.43,0.48,0.41
BAI_09,0.68,0.74,0.6,0.37,0.64,0.5,0.69,0.74,0.64,0.72,0.52,0.47,0.49,0.5,0.58,0.47,0.54,0.47,0.51,0.54,0.57,0.64,0.52,0.46,0.54,0.77,0.57,0.62,0.58,1.0,0.79,0.63,0.67,0.64,0.76,0.61,0.81,0.87,0.48,0.56,0.52,0.47,0.69,0.59
BAI_10,0.73,0.68,0.66,0.47,0.68,0.58,0.73,0.72,0.66,0.66,0.43,0.52,0.52,0.55,0.56,0.48,0.47,0.44,0.47,0.55,0.61,0.61,0.65,0.54,0.59,0.65,0.57,0.63,0.67,0.79,1.0,0.63,0.72,0.67,0.69,0.66,0.69,0.88,0.49,0.64,0.61,0.48,0.63,0.59
BAI_11,0.69,0.68,0.54,0.39,0.67,0.53,0.68,0.61,0.63,0.62,0.52,0.57,0.48,0.6,0.64,0.58,0.73,0.68,0.54,0.61,0.54,0.59,0.55,0.42,0.61,0.62,0.56,0.52,0.6,0.63,0.63,1.0,0.62,0.6,0.67,0.69,0.69,0.64,0.63,0.52,0.49,0.43,0.53,0.45
BAI_12,0.64,0.59,0.56,0.34,0.56,0.51,0.62,0.58,0.63,0.56,0.44,0.52,0.43,0.56,0.58,0.48,0.44,0.42,0.42,0.53,0.58,0.65,0.56,0.5,0.58,0.58,0.53,0.54,0.68,0.67,0.72,0.62,1.0,0.71,0.64,0.58,0.62,0.71,0.49,0.56,0.53,0.5,0.51,0.49
BAI_13,0.66,0.53,0.46,0.37,0.53,0.55,0.57,0.57,0.64,0.57,0.51,0.53,0.51,0.68,0.57,0.52,0.55,0.53,0.5,0.58,0.61,0.62,0.49,0.63,0.61,0.51,0.7,0.58,0.92,0.64,0.67,0.6,0.71,1.0,0.61,0.67,0.55,0.6,0.52,0.72,0.45,0.48,0.57,0.49
