,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
BAI_13,0.8,0.77,0.76,0.82,0.79,0.79,0.8,0.81,0.82,0.75,0.83,0.83,0.82,0.84,0.8,0.82,0.84,0.79,0.76,0.81,0.84,0.79,0.7,0.85,0.76,0.75,0.86,0.82,0.91,0.82,0.62,0.8,0.73,1.0,0.79,0.78,0.75,0.65,0.74,0.86,0.7,0.82,0.8,0.79
BAI_14,0.82,0.8,0.84,0.85,0.82,0.82,0.86,0.83,0.83,0.8,0.8,0.84,0.82,0.79,0.81,0.78,0.81,0.78,0.75,0.79,0.77,0.8,0.82,0.83,0.84,0.87,0.78,0.81,0.82,0.81,0.74,0.89,0.79,0.79,1.0,0.87,0.9,0.75,0.84,0.77,0.79,0.84,0.77,0.78
BAI_15,0.77,0.73,0.79,0.82,0.78,0.77,0.81,0.78,0.79,0.74,0.77,0.85,0.79,0.76,0.77,0.77,0.82,0.76,0.72,0.75,0.75,0.79,0.8,0.82,0.84,0.85,0.8,0.81,0.83,0.77,0.74,0.9,0.83,0.78,0.87,1.0,0.87,0.73,0.85,0.77,0.79,0.83,0.72,0.72
BAI_16,0.8,0.73,0.8,0.81,0.78,0.77,0.82,0.78,0.76,0.77,0.73,0.81,0.76,0.72,0.75,0.74,0.75,0.71,0.68,0.72,0.72,0.81,0.82,0.8,0.84,0.9,0.78,0.8,0.81,0.84,0.79,0.9,0.83,0.75,0.9,0.87,1.0,0.82,0.81,0.76,0.83,0.83,0.7,0.71
BAI_17,0.67,0.57,0.69,0.67,0.65,0.62,0.72,0.62,0.58,0.58,0.56,0.68,0.58,0.57,0.57,0.57,0.59,0.54,0.49,0.55,0.56,0.69,0.77,0.7,0.76,0.76,0.69,0.72,0.72,0.78,0.88,0.77,0.78,0.65,0.75,0.73,0.82,1.0,0.69,0.66,0.83,0.72,0.54,0.59
BAI_18,0.77,0.7,0.79,0.79,0.77,0.74,0.81,0.78,0.77,0.72,0.76,0.8,0.79,0.75,0.76,0.76,0.81,0.77,0.76,0.74,0.73,0.76,0.76,0.81,0.85,0.79,0.76,0.78,0.8,0.72,0.75,0.84,0.75,0.74,0.84,0.85,0.81,0.69,1.0,0.74,0.78,0.81,0.7,0.71
BAI_19,0.8,0.75,0.77,0.79,0.77,0.77,0.8,0.81,0.81,0.76,0.81,0.82,0.81,0.81,0.82,0.81,0.81,0.78,0.75,0.8,0.81,0.82,0.74,0.84,0.77,0.78,0.92,0.85,0.81,0.83,0.65,0.8,0.74,0.86,0.77,0.77,0.76,0.66,0.74,1.0,0.73,0.86,0.78,0.77
BAI_20,0.74,0.64,0.72,0.74,0.7,0.67,0.75,0.68,0.65,0.63,0.63,0.73,0.66,0.64,0.66,0.64,0.68,0.62,0.58,0.64,0.63,0.77,0.84,0.76,0.81,0.8,0.75,0.76,0.77,0.76,0.81,0.83,0.82,0.7,0.79,0.79,0.83,0.83,0.78,0.73,1.0,0.81,0.62,0.63
BAI_21,0.82,0.75,0.81,0.83,0.81,0.79,0.84,0.85,0.82,0.78,0.83,0.86,0.84,0.82,0.84,0.83,0.83,0.79,0.76,0.82,0.8,0.82,0.86,0.85,0.81,0.84,0.82,0.89,0.83,0.8,0.72,0.84,0.79,0.82,0.84,0.83,0.83,0.72,0.81,0.86,0.81,1.0,0.76,0.78
NPI_E_screen,0.87,0.88,0.8,0.85,0.87,0.86,0.82,0.88,0.9,0.86,0.88,0.83,0.88,0.89,0.88,0.88,0.88,0.89,0.86,0.89,0.9,0.77,0.66,0.8,0.7,0.74,0.79,0.74,0.72,0.78,0.51,0.73,0.65,0.8,0.77,0.72,0.7,0.54,0.7,0.78,0.62,0.76,1.0,0.9
MDS-UPDRS_1.4,0.88,0.85,0.83,0.84,0.86,0.85,0.84,0.88,0.87,0.83,0.86,0.83,0.87,0.86,0.86,0.85,0.85,0.85,0.83,0.87,0.88,0.78,0.69,0.79,0.73,0.76,0.8,0.75,0.73,0.79,0.56,0.75,0.66,0.79,0.78,0.72,0.71,0.59,0.71,0.77,0.63,0.78,0.9,1.0
