,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
HAMA_10,0.39,0.23,0.22,0.05,0.26,0.13,0.31,0.25,0.42,0.19,0.34,0.11,0.36,0.35,0.39,0.6,1.0,0.5,0.31,0.53,0.31,0.35,0.13,0.14,0.33,0.09,0.37,0.43,0.19,0.18,0.21,0.66,0.25,0.24,0.19,0.69,0.27,0.16,0.33,0.4,0.2,0.3,0.45,0.23
HAMA_11,0.19,0.18,0.05,0.03,0.23,0.06,0.25,0.14,0.24,0.12,0.21,0.02,0.19,0.24,0.37,0.44,0.5,1.0,0.44,0.42,0.17,0.23,0.08,0.16,0.18,0.03,0.29,0.22,0.13,0.07,0.07,0.45,0.12,0.16,0.06,0.33,0.1,0.09,0.51,0.25,0.11,0.16,0.29,0.11
HAMA_12,0.16,0.11,0.09,-0.02,0.15,0.07,0.17,0.1,0.25,0.02,0.23,0.16,0.25,0.28,0.37,0.38,0.31,0.44,1.0,0.31,0.17,0.23,0.06,0.16,0.09,-0.03,0.15,0.19,0.07,-0.01,0.05,0.22,0.11,0.11,0.01,0.16,0.05,0.04,0.25,0.19,0.07,0.12,0.27,0.05
HAMA_13,0.41,0.22,0.25,0.06,0.33,0.14,0.35,0.23,0.44,0.14,0.26,0.08,0.35,0.48,0.53,0.63,0.53,0.42,0.31,1.0,0.39,0.39,0.25,0.19,0.3,0.06,0.44,0.52,0.17,0.08,0.22,0.4,0.37,0.28,0.18,0.34,0.2,0.08,0.25,0.41,0.33,0.53,0.36,0.26
HAMA_14,0.45,0.27,0.27,0.09,0.32,0.24,0.26,0.46,0.45,0.25,0.34,0.36,0.4,0.44,0.29,0.29,0.31,0.17,0.17,0.39,1.0,0.26,0.1,0.19,0.24,0.19,0.24,0.31,0.17,0.22,0.35,0.16,0.36,0.23,0.26,0.18,0.22,0.1,0.22,0.19,0.14,0.21,0.51,0.33
BAI_01,0.38,0.26,0.2,0.16,0.3,0.24,0.31,0.23,0.41,0.14,0.27,0.22,0.33,0.44,0.55,0.45,0.35,0.23,0.23,0.39,0.26,1.0,0.31,0.36,0.27,0.1,0.6,0.31,0.3,0.18,0.24,0.48,0.39,0.38,0.2,0.26,0.17,0.18,0.29,0.56,0.15,0.25,0.38,0.28
BAI_02,0.34,0.28,0.33,0.36,0.36,0.28,0.28,0.16,0.25,0.12,0.07,0.06,0.16,0.13,0.23,0.21,0.13,0.08,0.06,0.25,0.1,0.31,1.0,0.17,0.25,0.11,0.38,0.42,0.29,0.19,0.34,0.28,0.27,0.23,0.14,0.09,0.09,0.29,0.23,0.31,0.33,0.41,0.08,0.37
BAI_03,0.23,0.12,0.16,0.1,0.18,0.22,0.19,0.17,0.22,0.1,0.17,0.07,0.19,0.28,0.19,0.22,0.14,0.16,0.16,0.19,0.19,0.36,0.17,1.0,0.12,0.06,0.32,0.2,0.41,0.19,0.22,0.19,0.38,0.43,0.12,0.18,0.11,0.18,0.24,0.3,0.11,0.31,0.18,0.12
BAI_04,0.52,0.21,0.34,0.36,0.19,0.31,0.32,0.35,0.45,0.23,0.34,0.15,0.33,0.18,0.11,0.28,0.33,0.18,0.09,0.3,0.24,0.27,0.25,0.12,1.0,0.25,0.27,0.35,0.28,0.23,0.4,0.27,0.34,0.3,0.33,0.38,0.26,0.27,0.32,0.27,0.3,0.3,0.3,0.36
BAI_05,0.27,0.61,0.47,0.15,0.5,0.09,0.54,0.47,0.24,0.56,0.14,0.07,0.08,0.05,0.06,0.1,0.09,0.03,-0.03,0.06,0.19,0.1,0.11,0.06,0.25,1.0,0.1,0.34,0.14,0.5,0.48,0.28,0.33,0.17,0.68,0.14,0.68,0.52,0.22,0.08,0.2,0.09,0.25,0.34
BAI_06,0.45,0.35,0.29,0.12,0.39,0.3,0.39,0.26,0.34,0.19,0.32,0.31,0.36,0.31,0.5,0.47,0.37,0.29,0.15,0.44,0.24,0.6,0.38,0.32,0.27,0.1,1.0,0.46,0.52,0.21,0.29,0.44,0.35,0.55,0.19,0.31,0.17,0.2,0.34,0.81,0.27,0.4,0.38,0.34
BAI_07,0.52,0.5,0.5,0.16,0.59,0.24,0.6,0.35,0.48,0.32,0.27,0.13,0.24,0.3,0.41,0.65,0.43,0.22,0.19,0.52,0.31,0.31,0.42,0.2,0.35,0.34,0.46,1.0,0.31,0.24,0.37,0.45,0.42,0.35,0.37,0.39,0.4,0.27,0.38,0.41,0.42,0.48,0.36,0.39
BAI_08,0.3,0.25,0.24,0.11,0.27,0.26,0.28,0.22,0.25,0.13,0.17,0.2,0.16,0.16,0.14,0.26,0.19,0.13,0.07,0.17,0.17,0.3,0.29,0.41,0.28,0.14,0.52,0.31,1.0,0.26,0.42,0.29,0.47,0.84,0.29,0.27,0.13,0.3,0.24,0.42,0.2,0.19,0.25,0.26
BAI_09,0.28,0.33,0.29,0.12,0.35,0.1,0.32,0.43,0.29,0.49,0.14,0.16,0.05,0.11,0.03,0.1,0.18,0.07,-0.01,0.08,0.22,0.18,0.19,0.19,0.23,0.5,0.21,0.24,0.26,1.0,0.58,0.25,0.38,0.27,0.46,0.21,0.53,0.71,0.19,0.15,0.22,0.15,0.31,0.39
BAI_10,0.5,0.42,0.43,0.21,0.48,0.26,0.45,0.48,0.38,0.36,0.1,0.22,0.09,0.17,0.1,0.15,0.21,0.07,0.05,0.22,0.35,0.24,0.34,0.22,0.4,0.48,0.29,0.37,0.42,0.58,1.0,0.36,0.54,0.41,0.48,0.24,0.43,0.7,0.31,0.29,0.37,0.24,0.39,0.53
BAI_11,0.42,0.38,0.27,0.14,0.43,0.13,0.45,0.2,0.38,0.22,0.23,0.1,0.15,0.27,0.34,0.38,0.66,0.45,0.22,0.4,0.16,0.48,0.28,0.19,0.27,0.28,0.44,0.45,0.29,0.25,0.36,1.0,0.38,0.31,0.36,0.55,0.33,0.32,0.48,0.4,0.31,0.24,0.31,0.28
BAI_12,0.4,0.43,0.39,0.06,0.44,0.21,0.49,0.33,0.39,0.27,0.09,0.08,0.07,0.28,0.19,0.28,0.25,0.12,0.11,0.37,0.36,0.39,0.27,0.38,0.34,0.33,0.35,0.42,0.47,0.38,0.54,0.38,1.0,0.59,0.4,0.33,0.29,0.41,0.19,0.38,0.3,0.41,0.37,0.41
BAI_13,0.37,0.33,0.26,0.07,0.32,0.28,0.36,0.25,0.32,0.17,0.19,0.18,0.17,0.29,0.24,0.33,0.24,0.16,0.11,0.28,0.23,0.38,0.23,0.43,0.3,0.17,0.55,0.35,0.84,0.27,0.41,0.31,0.59,1.0,0.29,0.32,0.14,0.27,0.18,0.5,0.15,0.28,0.34,0.34
BAI_14,0.33,0.42,0.38,0.16,0.41,0.18,0.46,0.33,0.3,0.5,0.2,0.16,0.21,0.11,0.09,0.19,0.19,0.06,0.01,0.18,0.26,0.2,0.14,0.12,0.33,0.68,0.19,0.37,0.29,0.46,0.48,0.36,0.4,0.29,1.0,0.26,0.68,0.47,0.27,0.16,0.26,0.17,0.31,0.26
BAI_15,0.28,0.17,0.2,0.02,0.18,0.1,0.3,0.13,0.25,0.16,0.22,0.13,0.13,0.19,0.22,0.43,0.69,0.33,0.16,0.34,0.18,0.26,0.09,0.18,0.38,0.14,0.31,0.39,0.27,0.21,0.24,0.55,0.33,0.32,0.26,1.0,0.31,0.22,0.33,0.38,0.22,0.31,0.35,0.18
BAI_16,0.22,0.4,0.32,0.08,0.37,0.08,0.41,0.37,0.3,0.69,0.31,0.19,0.26,0.15,0.17,0.26,0.27,0.1,0.05,0.2,0.22,0.17,0.09,0.11,0.26,0.68,0.17,0.4,0.13,0.53,0.43,0.33,0.29,0.14,0.68,0.31,1.0,0.5,0.34,0.16,0.2,0.19,0.33,0.2
BAI_17,0.26,0.39,0.36,0.08,0.38,0.09,0.4,0.29,0.2,0.44,0.07,0.08,-0.01,0.09,0.05,0.1,0.16,0.09,0.04,0.08,0.1,0.18,0.29,0.18,0.27,0.52,0.2,0.27,0.3,0.71,0.7,0.32,0.41,0.27,0.47,0.22,0.5,1.0,0.24,0.18,0.33,0.15,0.25,0.32
BAI_18,0.35,0.25,0.26,0.16,0.29,0.19,0.31,0.21,0.25,0.23,0.36,0.31,0.23,0.18,0.25,0.25,0.33,0.51,0.25,0.25,0.22,0.29,0.23,0.24,0.32,0.22,0.34,0.38,0.24,0.19,0.31,0.48,0.19,0.18,0.27,0.33,0.34,0.24,1.0,0.25,0.2,0.22,0.2,0.21
BAI_19,0.37,0.26,0.22,0.01,0.3,0.22,0.36,0.21,0.29,0.11,0.27,0.24,0.26,0.29,0.45,0.47,0.4,0.25,0.19,0.41,0.19,0.56,0.31,0.3,0.27,0.08,0.81,0.41,0.42,0.15,0.29,0.4,0.38,0.5,0.16,0.38,0.16,0.18,0.25,1.0,0.35,0.42,0.41,0.33
BAI_20,0.33,0.2,0.25,0.08,0.27,0.05,0.34,0.18,0.22,0.09,-0.04,0.03,0.06,0.08,0.13,0.18,0.2,0.11,0.07,0.33,0.14,0.15,0.33,0.11,0.3,0.2,0.27,0.42,0.2,0.22,0.37,0.31,0.3,0.15,0.26,0.22,0.2,0.33,0.2,0.35,1.0,0.29,0.18,0.26
BAI_21,0.32,0.16,0.2,0.02,0.24,0.15,0.31,0.17,0.29,0.14,0.17,0.06,0.17,0.26,0.3,0.4,0.3,0.16,0.12,0.53,0.21,0.25,0.41,0.31,0.3,0.09,0.4,0.48,0.19,0.15,0.24,0.24,0.41,0.28,0.17,0.31,0.19,0.15,0.22,0.42,0.29,1.0,0.22,0.23
NPI_E_screen,0.42,0.4,0.3,0.08,0.4,0.18,0.4,0.46,0.48,0.29,0.3,0.22,0.32,0.36,0.39,0.43,0.45,0.29,0.27,0.36,0.51,0.38,0.08,0.18,0.3,0.25,0.38,0.36,0.25,0.31,0.39,0.31,0.37,0.34,0.31,0.35,0.33,0.25,0.2,0.41,0.18,0.22,1.0,0.39
MDS-UPDRS_1.4,0.66,0.52,0.49,0.21,0.5,0.39,0.45,0.53,0.45,0.25,0.15,0.07,0.2,0.15,0.16,0.23,0.23,0.11,0.05,0.26,0.33,0.28,0.37,0.12,0.36,0.34,0.34,0.39,0.26,0.39,0.53,0.28,0.41,0.34,0.26,0.18,0.2,0.32,0.21,0.33,0.26,0.23,0.39,1.0
