,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
BAI_09,0.91,0.85,0.88,0.6,0.7,0.67,0.84,0.84,0.76,0.83,0.78,0.86,0.85,0.38,0.66,0.43,0.38,0.54,0.47,0.52,0.56,0.71,0.81,0.78,0.81,0.88,0.89,0.87,0.84,1.0,0.9,0.81,0.63,0.73,0.89,0.62,0.91,0.94,0.87,0.64,0.67,0.89,0.24,0.77
BAI_10,0.93,0.79,0.88,0.57,0.57,0.6,0.79,0.83,0.72,0.79,0.79,0.96,0.9,0.39,0.61,0.43,0.35,0.48,0.41,0.5,0.57,0.72,0.8,0.81,0.85,0.81,0.96,0.97,0.89,0.9,1.0,0.77,0.58,0.72,0.92,0.64,0.96,0.95,0.98,0.66,0.67,0.93,0.27,0.7
BAI_11,0.81,0.75,0.79,0.58,0.68,0.64,0.77,0.78,0.73,0.77,0.76,0.77,0.78,0.36,0.68,0.42,0.38,0.56,0.4,0.47,0.51,0.74,0.86,0.76,0.74,0.81,0.8,0.77,0.8,0.81,0.77,1.0,0.67,0.73,0.83,0.64,0.83,0.79,0.77,0.61,0.65,0.82,0.2,0.68
BAI_12,0.59,0.62,0.59,0.47,0.56,0.63,0.56,0.52,0.53,0.48,0.48,0.56,0.54,0.45,0.5,0.42,0.42,0.37,0.38,0.53,0.57,0.64,0.6,0.59,0.64,0.55,0.6,0.56,0.64,0.63,0.58,0.67,1.0,0.68,0.58,0.63,0.55,0.6,0.53,0.61,0.69,0.64,0.31,0.64
BAI_13,0.76,0.7,0.75,0.58,0.69,0.71,0.73,0.73,0.7,0.68,0.69,0.74,0.75,0.5,0.68,0.52,0.42,0.49,0.4,0.56,0.6,0.74,0.69,0.76,0.77,0.69,0.78,0.72,0.88,0.73,0.72,0.73,0.68,1.0,0.74,0.65,0.72,0.71,0.7,0.77,0.56,0.77,0.31,0.7
BAI_14,0.94,0.84,0.9,0.6,0.68,0.65,0.86,0.9,0.8,0.86,0.87,0.92,0.93,0.3,0.7,0.37,0.28,0.49,0.38,0.42,0.51,0.69,0.82,0.78,0.83,0.9,0.92,0.92,0.86,0.89,0.92,0.83,0.58,0.74,1.0,0.55,0.96,0.88,0.93,0.6,0.63,0.92,0.15,0.71
BAI_15,0.61,0.57,0.67,0.53,0.51,0.54,0.58,0.55,0.54,0.45,0.5,0.64,0.57,0.72,0.55,0.72,0.75,0.51,0.57,0.77,0.78,0.73,0.53,0.65,0.77,0.5,0.65,0.64,0.65,0.62,0.64,0.64,0.63,0.65,0.55,1.0,0.6,0.65,0.6,0.78,0.58,0.67,0.64,0.67
BAI_16,0.96,0.82,0.91,0.6,0.64,0.62,0.85,0.9,0.79,0.87,0.86,0.96,0.94,0.37,0.69,0.44,0.34,0.52,0.42,0.49,0.55,0.73,0.84,0.82,0.83,0.9,0.96,0.96,0.88,0.91,0.96,0.83,0.55,0.72,0.96,0.6,1.0,0.92,0.97,0.65,0.64,0.94,0.24,0.71
BAI_17,0.89,0.81,0.85,0.56,0.61,0.61,0.79,0.8,0.71,0.79,0.75,0.89,0.85,0.39,0.61,0.43,0.38,0.51,0.45,0.51,0.56,0.7,0.79,0.79,0.82,0.83,0.91,0.91,0.86,0.94,0.95,0.79,0.6,0.71,0.88,0.65,0.92,1.0,0.91,0.64,0.7,0.9,0.27,0.71
BAI_18,0.94,0.79,0.88,0.56,0.55,0.57,0.78,0.84,0.72,0.79,0.8,0.97,0.91,0.37,0.61,0.42,0.32,0.47,0.39,0.47,0.54,0.72,0.81,0.82,0.83,0.81,0.97,0.98,0.89,0.87,0.98,0.77,0.53,0.7,0.93,0.6,0.97,0.91,1.0,0.65,0.64,0.93,0.25,0.67
BAI_19,0.68,0.66,0.73,0.51,0.62,0.64,0.67,0.65,0.64,0.52,0.58,0.7,0.65,0.8,0.71,0.81,0.7,0.53,0.59,0.82,0.81,0.84,0.58,0.7,0.78,0.56,0.74,0.7,0.71,0.64,0.66,0.61,0.61,0.77,0.6,0.78,0.65,0.64,0.65,1.0,0.55,0.75,0.66,0.73
BAI_20,0.65,0.61,0.6,0.51,0.44,0.54,0.54,0.54,0.48,0.5,0.48,0.63,0.6,0.32,0.41,0.3,0.32,0.33,0.31,0.44,0.49,0.6,0.66,0.63,0.65,0.57,0.67,0.65,0.66,0.67,0.67,0.65,0.69,0.56,0.63,0.58,0.64,0.7,0.64,0.55,1.0,0.66,0.23,0.58
BAI_21,0.96,0.86,0.94,0.63,0.74,0.68,0.88,0.91,0.85,0.83,0.86,0.94,0.92,0.49,0.77,0.54,0.45,0.55,0.48,0.61,0.65,0.81,0.82,0.83,0.9,0.86,0.95,0.95,0.88,0.89,0.93,0.82,0.64,0.77,0.92,0.67,0.94,0.9,0.93,0.75,0.66,1.0,0.31,0.79
NPI_E_screen,0.24,0.25,0.35,0.19,0.25,0.26,0.25,0.24,0.25,0.09,0.17,0.31,0.21,0.89,0.39,0.86,0.84,0.37,0.62,0.81,0.75,0.56,0.16,0.32,0.42,0.15,0.29,0.3,0.25,0.24,0.27,0.2,0.31,0.31,0.15,0.64,0.24,0.27,0.25,0.66,0.23,0.31,1.0,0.42
MDS-UPDRS_1.4,0.81,0.83,0.85,0.58,0.77,0.77,0.82,0.78,0.79,0.7,0.71,0.74,0.74,0.57,0.74,0.63,0.56,0.57,0.55,0.7,0.72,0.71,0.66,0.65,0.81,0.74,0.75,0.72,0.68,0.77,0.7,0.68,0.64,0.7,0.71,0.67,0.71,0.71,0.67,0.73,0.58,0.79,0.42,1.0
