,SAS_01,SAS_02,SAS_03,SAS_04,SAS_05,SAS_06,SAS_07,SAS_08,SAS_09,SAS_10,SAS_11,SAS_12,SAS_13,SAS_14,AES_01,AES_02,AES_03,AES_04,AES_05,AES_06,AES_07,AES_08,AES_09,AES_10,AES_11,AES_12,AES_13,AES_14,AES_15,AES_16,AES_17,AES_18,AMI_01,AMI_02,AMI_03,AMI_04,AMI_05,AMI_06,AMI_07,AMI_08,AMI_09,AMI_10,AMI_11,AMI_12,AMI_13,AMI_14,AMI_15,AMI_16,AMI_17,AMI_18,LARS_02.2,LARS_03.1,LARS_03.2,LARS_03.3,LARS_03.4,LARS_04.1,LARS_04.2,LARS_04.3,LARS_04.4,LARS_05.1,LARS_05.2,LARS_05.3,LARS_05.4,LARS_06.1,LARS_06.2,LARS_06.3,LARS_06.4,LARS_07.1,LARS_07.2,LARS_07.3,LARS_07.4,LARS_08.1,LARS_08.2,LARS_08.3,LARS_08.4,LARS_09.1,LARS_09.2,LARS_09.3,LARS_09.4,MDS-UPDRS_1.5,NPI_G_screen
LARS_04.4,0.65,0.61,0.57,0.6,0.63,0.58,0.58,0.6,0.55,0.56,0.54,0.55,0.59,0.53,0.61,0.55,0.53,0.64,0.62,0.43,0.57,0.55,0.63,0.55,0.49,0.53,0.6,0.61,0.48,0.58,0.51,0.53,0.53,0.48,0.59,0.54,0.44,0.52,0.54,0.54,0.54,0.46,0.51,0.56,0.44,0.43,0.55,0.51,0.61,0.47,0.6,0.65,0.58,0.58,0.62,0.63,0.59,0.73,1.0,0.63,0.6,0.64,0.64,0.65,0.58,0.61,0.58,0.6,0.61,0.6,0.65,0.6,0.73,0.57,0.58,0.64,0.59,0.59,0.6,0.6,0.61
LARS_05.1,0.65,0.59,0.64,0.81,0.7,0.6,0.71,0.68,0.7,0.59,0.57,0.77,0.58,0.57,0.59,0.59,0.65,0.62,0.62,0.59,0.56,0.64,0.63,0.66,0.53,0.51,0.59,0.6,0.56,0.66,0.62,0.61,0.45,0.5,0.54,0.57,0.53,0.63,0.41,0.37,0.77,0.41,0.6,0.7,0.47,0.52,0.63,0.45,0.61,0.45,0.6,0.86,0.68,0.7,0.75,0.58,0.64,0.52,0.63,1.0,0.81,0.79,0.72,0.67,0.57,0.56,0.53,0.64,0.77,0.63,0.54,0.58,0.7,0.69,0.68,0.75,0.73,0.61,0.73,0.52,0.65
LARS_05.2,0.59,0.58,0.6,0.69,0.72,0.61,0.67,0.62,0.63,0.6,0.56,0.69,0.6,0.58,0.55,0.55,0.55,0.56,0.56,0.54,0.5,0.56,0.58,0.61,0.54,0.48,0.53,0.56,0.52,0.58,0.54,0.56,0.49,0.5,0.47,0.56,0.45,0.6,0.4,0.42,0.64,0.44,0.58,0.67,0.45,0.46,0.61,0.48,0.53,0.47,0.57,0.77,0.6,0.69,0.64,0.54,0.64,0.5,0.6,0.81,1.0,0.8,0.73,0.58,0.58,0.54,0.56,0.67,0.89,0.65,0.55,0.57,0.66,0.62,0.64,0.73,0.69,0.64,0.69,0.53,0.63
LARS_05.3,0.57,0.55,0.62,0.7,0.65,0.66,0.66,0.6,0.66,0.62,0.61,0.68,0.62,0.63,0.55,0.53,0.61,0.57,0.54,0.52,0.58,0.7,0.58,0.64,0.55,0.48,0.56,0.57,0.51,0.6,0.56,0.57,0.53,0.45,0.48,0.51,0.55,0.68,0.49,0.4,0.62,0.46,0.54,0.78,0.47,0.45,0.62,0.49,0.57,0.5,0.57,0.83,0.65,0.72,0.66,0.53,0.57,0.5,0.64,0.79,0.8,1.0,0.63,0.67,0.56,0.6,0.63,0.66,0.75,0.61,0.58,0.54,0.67,0.66,0.73,0.79,0.8,0.67,0.76,0.56,0.66
LARS_05.4,0.61,0.61,0.58,0.68,0.74,0.52,0.61,0.57,0.62,0.56,0.52,0.64,0.57,0.51,0.64,0.56,0.55,0.58,0.6,0.53,0.52,0.57,0.6,0.58,0.5,0.54,0.57,0.59,0.5,0.59,0.53,0.56,0.53,0.49,0.46,0.48,0.37,0.55,0.46,0.4,0.54,0.41,0.55,0.54,0.47,0.44,0.58,0.5,0.46,0.49,0.57,0.66,0.65,0.63,0.63,0.58,0.6,0.58,0.64,0.72,0.73,0.63,1.0,0.62,0.53,0.55,0.59,0.68,0.7,0.63,0.58,0.59,0.66,0.56,0.55,0.63,0.62,0.63,0.65,0.53,0.57
LARS_06.1,0.6,0.59,0.65,0.61,0.57,0.51,0.66,0.56,0.57,0.64,0.57,0.54,0.71,0.64,0.58,0.46,0.5,0.64,0.57,0.45,0.58,0.56,0.59,0.53,0.5,0.55,0.61,0.67,0.51,0.51,0.52,0.56,0.65,0.55,0.59,0.47,0.46,0.54,0.55,0.45,0.57,0.45,0.5,0.54,0.51,0.49,0.52,0.6,0.49,0.56,0.53,0.67,0.59,0.56,0.65,0.63,0.56,0.61,0.65,0.67,0.58,0.67,0.62,1.0,0.72,0.7,0.73,0.71,0.62,0.65,0.59,0.63,0.71,0.65,0.64,0.66,0.66,0.76,0.67,0.62,0.62
LARS_06.2,0.55,0.56,0.54,0.52,0.54,0.45,0.58,0.51,0.5,0.57,0.52,0.45,0.57,0.58,0.53,0.45,0.44,0.57,0.54,0.44,0.5,0.47,0.59,0.49,0.48,0.54,0.55,0.64,0.5,0.43,0.47,0.52,0.52,0.57,0.56,0.45,0.4,0.48,0.42,0.45,0.52,0.41,0.45,0.47,0.49,0.46,0.47,0.55,0.45,0.49,0.51,0.58,0.5,0.54,0.58,0.63,0.59,0.54,0.58,0.57,0.58,0.56,0.53,0.72,1.0,0.65,0.6,0.66,0.63,0.57,0.57,0.59,0.65,0.62,0.66,0.56,0.57,0.63,0.67,0.5,0.53
LARS_06.3,0.65,0.7,0.66,0.57,0.59,0.66,0.67,0.6,0.56,0.58,0.5,0.55,0.66,0.6,0.53,0.45,0.45,0.61,0.53,0.33,0.5,0.55,0.51,0.49,0.45,0.5,0.57,0.75,0.46,0.49,0.46,0.51,0.66,0.47,0.56,0.48,0.43,0.49,0.51,0.4,0.47,0.35,0.47,0.53,0.44,0.42,0.41,0.56,0.42,0.49,0.51,0.56,0.54,0.53,0.6,0.65,0.55,0.61,0.61,0.56,0.54,0.6,0.55,0.7,0.65,1.0,0.8,0.59,0.6,0.61,0.64,0.67,0.66,0.61,0.61,0.68,0.58,0.64,0.64,0.52,0.52
LARS_06.4,0.55,0.59,0.71,0.53,0.57,0.57,0.59,0.5,0.59,0.59,0.51,0.54,0.7,0.63,0.5,0.44,0.44,0.53,0.48,0.34,0.47,0.54,0.48,0.54,0.52,0.48,0.52,0.6,0.49,0.49,0.43,0.48,0.88,0.49,0.46,0.42,0.36,0.59,0.6,0.35,0.4,0.41,0.47,0.51,0.6,0.4,0.45,0.76,0.35,0.66,0.45,0.6,0.57,0.58,0.55,0.55,0.48,0.54,0.58,0.53,0.56,0.63,0.59,0.73,0.6,0.8,1.0,0.73,0.64,0.72,0.62,0.6,0.61,0.6,0.6,0.63,0.69,0.8,0.68,0.55,0.56
LARS_07.1,0.52,0.57,0.66,0.59,0.59,0.51,0.56,0.57,0.63,0.57,0.53,0.59,0.6,0.6,0.54,0.54,0.54,0.54,0.52,0.46,0.5,0.56,0.57,0.59,0.57,0.48,0.54,0.62,0.52,0.58,0.49,0.51,0.67,0.49,0.44,0.46,0.39,0.56,0.49,0.39,0.49,0.49,0.53,0.53,0.52,0.43,0.54,0.63,0.44,0.55,0.53,0.68,0.62,0.6,0.6,0.59,0.55,0.48,0.6,0.64,0.67,0.66,0.68,0.71,0.66,0.59,0.73,1.0,0.75,0.77,0.59,0.51,0.62,0.58,0.59,0.65,0.64,0.7,0.66,0.54,0.61
