,SAS_01,SAS_02,SAS_03,SAS_04,SAS_05,SAS_06,SAS_07,SAS_08,SAS_09,SAS_10,SAS_11,SAS_12,SAS_13,SAS_14,AES_01,AES_02,AES_03,AES_04,AES_05,AES_06,AES_07,AES_08,AES_09,AES_10,AES_11,AES_12,AES_13,AES_14,AES_15,AES_16,AES_17,AES_18,AMI_01,AMI_02,AMI_03,AMI_04,AMI_05,AMI_06,AMI_07,AMI_08,AMI_09,AMI_10,AMI_11,AMI_12,AMI_13,AMI_14,AMI_15,AMI_16,AMI_17,AMI_18,LARS_02.2,LARS_03.1,LARS_03.2,LARS_03.3,LARS_03.4,LARS_04.1,LARS_04.2,LARS_04.3,LARS_04.4,LARS_05.1,LARS_05.2,LARS_05.3,LARS_05.4,LARS_06.1,LARS_06.2,LARS_06.3,LARS_06.4,LARS_07.1,LARS_07.2,LARS_07.3,LARS_07.4,LARS_08.1,LARS_08.2,LARS_08.3,LARS_08.4,LARS_09.1,LARS_09.2,LARS_09.3,LARS_09.4,MDS-UPDRS_1.5,NPI_G_screen
AES_01,0.39,0.42,0.07,0.17,0.28,0.17,0.11,0.1,0.11,0.14,0.25,0.21,0.1,0.08,1.0,0.4,0.41,0.73,0.77,0.22,0.49,0.25,0.62,0.22,0.26,0.4,0.22,0.31,0.35,0.25,0.48,0.48,0.07,0.21,0.2,0.18,0.12,0.17,0.1,0.03,0.09,0.08,0.01,0.19,-0.07,0.06,0.02,0.05,0.28,-0.04,0.16,0.12,0.02,0.05,0.09,0.28,0.17,0.09,0.12,0.09,0.07,0.06,0.19,0.15,0.01,0.11,0.04,0.03,0.07,0.02,0.09,-0.05,0.04,0.02,0.03,0.11,0.05,-0.05,-0.07,0.04,0.22
AES_02,0.04,0.1,-0.0,0.26,0.26,0.13,0.18,0.35,0.41,0.02,0.12,0.19,0.05,0.1,0.4,1.0,0.43,0.21,0.27,0.33,0.44,0.37,0.59,0.62,0.23,0.33,0.19,0.16,0.32,0.77,0.39,0.41,-0.01,0.06,0.0,0.18,0.14,-0.01,-0.0,0.07,0.19,0.18,0.39,0.18,-0.04,0.01,0.22,0.05,0.24,-0.06,0.31,0.21,0.1,0.23,0.29,0.04,0.0,-0.05,0.05,0.19,0.1,0.13,0.09,-0.01,0.04,0.05,-0.01,0.03,0.11,0.04,0.08,-0.02,0.11,-0.03,0.0,0.19,-0.03,-0.03,-0.08,0.01,0.12
AES_03,0.2,0.14,0.05,0.26,0.15,0.18,0.24,0.22,0.33,-0.06,0.1,0.51,-0.02,0.11,0.41,0.43,1.0,0.36,0.49,0.25,0.37,0.53,0.46,0.49,0.33,0.21,0.46,0.16,0.41,0.59,0.5,0.45,0.03,0.13,0.12,0.23,0.17,0.11,0.09,-0.02,0.32,0.06,0.26,0.32,0.1,0.15,0.3,0.14,0.15,0.0,0.09,0.34,0.22,0.3,0.35,0.12,0.22,0.03,-0.0,0.37,0.23,0.23,0.14,0.07,-0.02,0.06,0.04,0.12,0.15,0.18,0.13,-0.05,0.13,0.14,0.11,0.21,0.06,-0.03,-0.03,-0.02,0.21
AES_04,0.49,0.35,0.05,0.1,0.37,0.19,0.12,0.15,0.13,0.06,0.14,0.2,0.09,0.07,0.73,0.21,0.36,1.0,0.83,0.09,0.41,0.19,0.49,0.19,0.19,0.32,0.31,0.26,0.23,0.13,0.35,0.38,0.04,0.31,0.45,0.28,0.06,0.21,0.1,0.23,0.08,0.13,-0.04,0.19,-0.06,0.16,-0.02,0.07,0.37,-0.0,0.18,0.1,0.03,0.06,0.19,0.31,0.34,0.35,0.15,0.07,0.07,0.09,0.09,0.1,-0.02,0.08,0.02,-0.02,0.09,-0.02,0.17,0.04,0.21,0.05,0.04,0.12,0.08,-0.01,-0.06,0.14,0.22
AES_05,0.69,0.37,0.02,0.1,0.26,0.17,0.12,0.13,0.14,0.03,0.13,0.27,0.01,-0.0,0.77,0.27,0.49,0.83,1.0,0.07,0.41,0.18,0.48,0.23,0.14,0.24,0.25,0.24,0.31,0.22,0.36,0.38,0.03,0.24,0.35,0.27,0.06,0.18,0.02,0.09,0.13,0.08,-0.0,0.19,-0.04,0.1,0.01,0.02,0.36,-0.04,0.17,0.13,0.01,0.05,0.16,0.41,0.47,0.26,0.11,0.11,0.08,0.08,0.11,0.1,0.01,0.08,0.02,-0.02,0.07,-0.07,0.1,-0.03,0.12,0.02,0.05,0.07,0.03,-0.07,-0.05,-0.0,0.18
AES_06,-0.12,-0.05,0.02,0.47,0.06,-0.07,0.15,0.14,0.23,0.26,0.25,0.14,0.15,0.36,0.22,0.33,0.25,0.09,0.07,1.0,0.31,0.2,0.3,0.3,0.49,0.24,0.07,0.08,0.21,0.2,0.41,0.38,0.09,-0.01,-0.12,-0.02,0.1,0.03,0.04,-0.06,0.19,0.23,0.17,0.07,0.17,0.07,0.12,0.19,-0.09,0.12,0.04,0.2,0.07,0.07,0.12,-0.17,-0.08,-0.15,-0.15,0.37,0.27,0.21,0.23,0.06,0.08,-0.1,0.09,0.09,0.14,0.08,-0.06,-0.04,0.13,-0.03,0.1,0.07,0.06,0.13,0.06,0.18,0.25
AES_07,0.17,0.1,0.07,0.36,0.23,0.22,0.29,0.34,0.25,0.18,0.17,0.21,0.26,0.22,0.49,0.44,0.37,0.41,0.41,0.31,1.0,0.37,0.53,0.4,0.3,0.25,0.2,0.4,0.39,0.28,0.43,0.54,0.16,0.05,0.07,0.12,0.37,0.15,0.16,0.0,0.26,0.15,0.18,0.41,0.01,-0.03,0.17,0.13,0.19,0.07,0.22,0.23,0.06,0.07,0.23,0.07,0.06,0.07,0.08,0.31,0.2,0.29,0.14,0.25,0.12,0.14,0.11,0.05,0.2,0.04,0.07,-0.03,0.12,-0.01,0.08,0.24,0.13,0.06,-0.0,0.15,0.25
AES_08,0.01,0.07,0.09,0.25,0.08,0.28,0.32,0.14,0.19,-0.01,0.03,0.27,0.05,0.14,0.25,0.37,0.53,0.19,0.18,0.2,0.37,1.0,0.45,0.43,0.29,0.15,0.35,0.22,0.45,0.54,0.31,0.45,0.13,-0.09,-0.05,0.07,0.28,0.2,0.2,-0.08,0.18,0.02,0.26,0.47,0.05,-0.07,0.17,0.22,0.07,0.08,0.09,0.23,0.08,0.16,0.07,0.05,0.02,-0.05,0.01,0.25,0.2,0.36,0.1,0.07,-0.02,0.19,0.15,0.12,0.15,0.2,0.08,-0.02,0.05,-0.06,0.03,0.33,0.13,0.03,-0.03,-0.06,0.23
AES_09,0.17,0.29,-0.06,0.24,0.3,0.19,0.21,0.29,0.23,0.11,0.19,0.15,0.14,0.21,0.62,0.59,0.46,0.49,0.48,0.3,0.53,0.45,1.0,0.4,0.36,0.42,0.43,0.32,0.4,0.46,0.37,0.49,0.04,0.2,0.25,0.38,0.11,0.08,0.13,0.2,0.21,0.22,0.21,0.32,-0.02,0.05,0.08,0.17,0.46,-0.07,0.38,0.2,-0.05,0.11,0.27,0.19,0.08,0.07,0.11,0.18,0.11,0.18,0.04,0.13,0.04,0.11,0.02,-0.02,0.06,0.07,0.13,0.03,0.25,-0.01,0.11,0.18,0.05,-0.02,-0.06,0.14,0.25
AES_10,0.09,0.04,0.09,0.33,0.32,0.2,0.3,0.37,0.81,0.05,0.14,0.33,0.07,0.15,0.22,0.62,0.49,0.19,0.23,0.3,0.4,0.43,0.4,1.0,0.29,0.18,0.23,0.13,0.36,0.63,0.35,0.37,0.11,0.1,-0.01,0.2,0.23,0.09,0.1,0.04,0.22,0.18,0.38,0.26,0.13,0.19,0.27,0.16,0.19,0.12,0.23,0.44,0.38,0.37,0.44,0.07,0.12,0.0,0.01,0.32,0.26,0.26,0.19,-0.03,0.04,0.04,0.11,0.12,0.23,0.12,0.13,-0.01,0.15,0.07,0.15,0.25,0.12,0.05,0.08,0.12,0.17
